ticker,source,title,description,content,url,publishedAt
AAPL,Github.com,Show HN: Pixelagent – Build your Stateful Agent Framework in 200 lines of code,"Article URL: https://github.com/pixeltable/pixelagent
Comments URL: https://news.ycombinator.com/item?id=43998341
Points: 1
# Comments: 1","We see agents as the intersection of an LLM, storage, and orchestration. Pixeltable unifies this interface into a single declarative framework, making it the de-facto choice for engineers to build cu… [+4806 chars]",https://github.com/pixeltable/pixelagent,2025-05-15 19:17:23+00:00
AAPL,Biztoc.com,Stock Market Today: Stocks look to open weak; Walmart and Apple in focus,"Stocks are expected to open lower on Thursday because tariff controversies just won't go away. 
Apple (AAPL) shares were lower premarket after President Donald Trump complained about the company's decision to move as much of its iPhone production to India.
 …",Stocks are expected to open lower on Thursday because tariff controversies just won't go away. Apple (AAPL) shares were lower premarket after President Donald Trump complained about the company's dec… [+135 chars],https://biztoc.com/x/eb759aa2771dd870,2025-05-15 13:25:05+00:00
AAPL,Thedividendguyblog.com,The Top 3 Most Popular U.S. Stocks Among Experienced Dividend Investors,"If you’ve been following me for a while, you know I love digging into our Dividend Stocks Rock member data—not to predict the next big thing, but to see what long-term investors are actually holding year after year. Last week, we looked at the most popular Ca…","If youve been following me for a while, you know I love digging into our Dividend Stocks Rock member datanot to predict the next big thing, but to see what long-term investors are actually holding ye… [+9251 chars]",https://thedividendguyblog.com/most-popular-us-stocks/,2025-05-15 10:32:16+00:00
AAPL,ETF Daily News,Music Stocks To Add to Your Watchlist – May 13th,"Amazon.com, Apple, Alibaba Group, Walt Disney, Spotify Technology, Western Digital, and Sony Group are the seven Music stocks to watch today, according to MarketBeat’s stock screener tool. Music stocks are pre-produced musical compositions or tracks that can …","Amazon.com, Apple, Alibaba Group, Walt Disney, Spotify Technology, Western Digital, and Sony Group are the seven Music stocks to watch today, according to MarketBeat’s stock screener tool. Music stoc… [+8249 chars]",https://www.etfdailynews.com/2025/05/15/music-stocks-to-add-to-your-watchlist-may-13th/,2025-05-15 09:36:55+00:00
AAPL,ETF Daily News,Best Fitness Stocks To Research – May 13th,"Apple, PDD, Lululemon Athletica, Five Below, Celsius, Best Buy, and GAP are the seven Fitness stocks to watch today, according to MarketBeat’s stock screener tool. Fitness stocks are publicly traded shares of companies operating in the health and fitness sect…","Apple, PDD, Lululemon Athletica, Five Below, Celsius, Best Buy, and GAP are the seven Fitness stocks to watch today, according to MarketBeat’s stock screener tool. Fitness stocks are publicly traded … [+8042 chars]",https://www.etfdailynews.com/2025/05/15/best-fitness-stocks-to-research-may-13th/,2025-05-15 08:26:57+00:00
AAPL,ETF Daily News,WoodTrust Financial Corp Purchases 883 Shares of Apple Inc. (NASDAQ:AAPL),"WoodTrust Financial Corp lifted its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.9% during the fourth quarter, HoldingsChannel.com reports. The fund owned 96,531 shares of the iPhone maker’s stock after purchasing an additional 883 shares during th…","WoodTrust Financial Corp lifted its position in Apple Inc. (NASDAQ:AAPL – Free Report) by 0.9% during the fourth quarter, HoldingsChannel.com reports. The fund owned 96,531 shares of the iPhone maker… [+6853 chars]",https://www.etfdailynews.com/2025/05/15/woodtrust-financial-corp-purchases-883-shares-of-apple-inc-nasdaqaapl/,2025-05-15 07:08:45+00:00
AAPL,ETF Daily News,"31,060 Shares in Apple Inc. (NASDAQ:AAPL) Bought by Vision Financial Markets LLC","Vision Financial Markets LLC bought a new position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) in the fourth quarter, HoldingsChannel reports. The fund bought 31,060 shares of the iPhone maker’s stock, valued at approximately $7,778,000. Apple account…","Vision Financial Markets LLC bought a new position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) in the fourth quarter, HoldingsChannel reports. The fund bought 31,060 shares of the iPhone make… [+6119 chars]",https://www.etfdailynews.com/2025/05/15/31060-shares-in-apple-inc-nasdaqaapl-bought-by-vision-financial-markets-llc/,2025-05-15 07:08:45+00:00
AAPL,ETF Daily News,M&T Bank Corp Decreases Stock Position in Apple Inc. (NASDAQ:AAPL),"M&T Bank Corp trimmed its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.2% during the 4th quarter, Holdings Channel reports. The firm owned 5,536,580 shares of the iPhone maker’s stock after selling 9,922 shares during the period. Apple co…","M&amp;T Bank Corp trimmed its position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.2% during the 4th quarter, Holdings Channel reports. The firm owned 5,536,580 shares of the iPhone make… [+7028 chars]",https://www.etfdailynews.com/2025/05/15/mt-bank-corp-decreases-stock-position-in-apple-inc-nasdaqaapl/,2025-05-15 07:08:45+00:00
AAPL,ETF Daily News,"4,380 Shares in Apple Inc. (NASDAQ:AAPL) Acquired by Aigen Investment Management LP","Aigen Investment Management LP acquired a new position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) in the 4th quarter, HoldingsChannel.com reports. The firm acquired 4,380 shares of the iPhone maker’s stock, valued at approximately $1,097,000. Other l…","Aigen Investment Management LP acquired a new position in shares of Apple Inc. (NASDAQ:AAPL – Free Report) in the 4th quarter, HoldingsChannel.com reports. The firm acquired 4,380 shares of the iPhon… [+5939 chars]",https://www.etfdailynews.com/2025/05/15/4380-shares-in-apple-inc-nasdaqaapl-acquired-by-aigen-investment-management-lp/,2025-05-15 07:08:45+00:00
AAPL,ETF Daily News,"Academy Capital Management Sells 1,265 Shares of Apple Inc. (NASDAQ:AAPL)","Academy Capital Management lowered its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.4% during the fourth quarter, HoldingsChannel.com reports. The firm owned 343,006 shares of the iPhone maker’s stock after selling 1,265 shares during the…","Academy Capital Management lowered its holdings in shares of Apple Inc. (NASDAQ:AAPL – Free Report) by 0.4% during the fourth quarter, HoldingsChannel.com reports. The firm owned 343,006 shares of th… [+6848 chars]",https://www.etfdailynews.com/2025/05/15/academy-capital-management-sells-1265-shares-of-apple-inc-nasdaqaapl/,2025-05-15 07:08:45+00:00
